longitude,latitude
27.618926,53.835837
27.619613,53.834627
27.620975,53.837052
27.620235,53.836470
27.621039,53.835273
27.623475,53.834659
27.623883,53.835134
27.624859,53.834735
27.624548,53.836027
27.625352,53.835932
27.626007,53.835374
27.626593,53.834627
27.632262,53.837473
27.631426,53.837524
27.634909,53.848474
27.633250,53.848627
27.635532,53.847537
27.634781,53.847474
27.633954,53.847271
27.633139,53.847220
27.634459,53.846422
27.634158,53.845910
27.632617,53.846032
27.634970,53.845063
27.634135,53.844898
27.633298,53.844822
27.632528,53.844739
27.633837,53.843878
27.633515,53.843372
27.631919,53.843449
27.634265,53.842397
27.633450,53.842347
27.632656,53.842182
27.631862,53.842169
27.632989,53.841276
27.632849,53.840789
27.631404,53.841132
27.631404,53.838784
27.631275,53.838151
27.626658,53.836071
27.627237,53.837710
27.627559,53.835533
27.626604,53.836045
27.614439,53.837092
27.613843,53.836226
27.616746,53.835396
27.616682,53.838553
27.615051,53.837958
27.613839,53.837913
27.614218,53.838134
27.616360,53.837736
27.613850,53.837097
27.615792,53.838192
27.614461,53.837844
27.616327,53.836978
27.615490,53.836997
27.635270,53.843434
27.636665,53.848511
27.636011,53.845979
27.634711,53.840812
27.611929,53.838873
27.612744,53.839392
27.613721,53.839348
27.614354,53.839386
27.615251,53.838654
27.615520,53.839223
27.617344,53.838438
27.619532,53.839396
27.618685,53.839440
27.646587,53.841767
27.617923,53.839390
27.618074,53.838992
27.618117,53.837637
27.619257,53.838297
27.620632,53.838611
27.620439,53.839193
27.621675,53.837765
27.621997,53.838620
27.647603,53.839543
27.649533,53.840703
27.622973,53.838582
27.623467,53.839374
27.624271,53.839431
27.625033,53.839361
27.624025,53.838949
27.623692,53.837664
27.624797,53.838361
27.626192,53.839133
27.626204,53.839180
27.637207,53.840668
27.641691,53.840974
27.642453,53.840632
27.642560,53.841334
27.643240,53.841203
27.650938,53.841581
27.643033,53.835415
27.641363,53.837448
27.643596,53.836036
27.643643,53.838606
27.642988,53.837660
23.851833,53.680111
23.858861,53.679778
23.86026,53.675194
23.857808,53.678618
23.856802,53.679087
23.857287,53.678164
23.856191,53.677066
23.859784,53.67753
23.860826,53.67762
23.861248,53.678047
23.859865,53.678159
23.861365,53.678703
23.859757,53.679071
23.860278,53.679668
23.645024,52.10681
23.655193,52.096941
23.752599,52.109160
23.752796,52.109425
23.753976,52.109869
23.757401,52.108582
23.754933,52.108503
23.756617,52.108219
23.753259,52.108774
23.753961,52.108254
23.755888,52.107578
23.753575,52.108024
23.754987,52.107360
23.753972,52.107090
23.753688,52.105943
23.752781,52.106119
23.752953,52.107548
23.752124,52.105747
23.757744,52.109939
23.758441,52.108827
23.756852,52.107344
23.757635,52.107489
23.758418,52.107489
23.759244,52.107668
23.757892,52.106717
23.758933,52.106816
23.757463,52.105593
23.758085,52.105970
23.759974,52.106221
23.755500,52.104159
23.753764,52.105242
23.753469,52.104595
23.752465,52.104582
23.752968,52.103611
23.751373,52.104218
23.751538,52.103280
23.752312,52.103412
23.757017,52.106233
23.759934,52.104898
23.759319,52.104781
23.754628,52.105946
23.757109,52.104365
23.754681,52.105051
23.750649,52.103142
27.586488,53.932999
27.583988,53.932542
27.586032,53.929903
27.589894,53.931207
27.585645,53.930549
27.589841,53.931859
27.588367,53.932097
27.588942,53.9325
27.5879,53.933258
27.590002,53.933693
27.590083,53.934244
27.59046,53.934933
27.591781,53.935622
27.579726,53.932728
27.583373,53.936709
27.584271,53.936709
27.583786,53.937181
27.584855,53.938453
27.585313,53.939094
27.588888,53.93426
27.589391,53.934774
27.589903,53.935342
27.593389,53.938522
27.59073,53.935596
27.584999,53.937356
27.587155,53.933211
27.586068,53.932628
27.58958,53.933439
27.589005,53.933582
27.586005,53.933465
27.585367,53.934043
27.584046,53.932521
27.582061,53.932601
27.585448,53.929383
27.585358,53.929807
27.58472,53.930746
27.583283,53.930019
27.583175,53.930443
27.583867,53.930549
27.580965,53.931095
27.582097,53.931822
27.582178,53.934891
27.585816,53.937992
27.592419,53.936439
27.59099,53.936015
27.550147,53.879838
30.215003,55.166270
30.214273,55.165999
30.214853,55.168468
30.213308,55.168235
30.215754,55.169439
30.214960,55.169205
30.213651,55.169303
30.214402,55.169598
30.212814,55.169766
30.219008,55.168194
30.218081,55.166267
30.218886,55.166316
30.219840,55.166826
30.216193,55.166135
30.215736,55.165561
30.326899,53.874891
30.326684,53.875708
30.326387,53.87635
30.325255,53.876653
30.323872,53.876956
30.328229,53.874705
30.328516,53.874084
30.326612,53.873102
30.324618,53.872056
30.316479,53.877879
30.317898,53.8778
30.318985,53.879201
30.318994,53.878405
30.320638,53.879764
30.323324,53.878378
30.320306,53.878256
30.320719,53.878925
30.322129,53.878766
30.322013,53.87987
30.31771,53.875432
30.318258,53.87574
30.318815,53.876
30.316416,53.876181
30.211583,55.164484
30.213214,55.165442
30.212248,55.165553
30.211342,55.165602
30.211647,55.166734
30.217849,55.163123
30.219136,55.162902
30.220639,55.162717
30.216991,55.164609
30.217206,55.164007
30.218821,55.163602
30.220001,55.163381
30.221535,55.163295
30.219754,55.164032
30.220838,55.163939
30.222007,55.164259
30.218960,55.164720
30.216073,55.164701
30.216170,55.164013
30.216729,55.163485
30.215271,55.164898
30.215028,55.164382
30.212839,55.164369
30.213891,55.163946
23.8054,53.69807
23.806101,53.707185
23.814482,53.706204
23.809397,53.705218
23.810098,53.705319
23.810718,53.70541
23.813916,53.710548
23.813664,53.709636
23.813682,53.707808
23.813332,53.707174
23.813997,53.707291
23.814482,53.709135
23.815308,53.707552
23.815677,53.706087
23.807897,53.706364
23.806837,53.706662
23.803343,53.701625
23.804097,53.701769
23.804924,53.701886
23.805651,53.702435
23.806388,53.700527
23.806658,53.699834
23.805885,53.69921
23.806927,53.699173
27.55742,53.884758
27.551779,53.882396
27.560331,53.879312
27.5584,53.881234
27.560097,53.881159
27.550099,53.87513
27.55521,53.884784
27.553504,53.884662
27.554007,53.882523
27.558624,53.874742
27.557384,53.875018
27.556729,53.88169
27.556729,53.88169
27.556441,53.877869
27.557798,53.877784
27.556738,53.878606
27.555435,53.880018
27.557106,53.879392
27.55486,53.8804
27.555408,53.880995
27.553046,53.881807
27.551626,53.881642
27.553674,53.883139
27.550899,53.878771
27.551878,53.878659
27.553055,53.878654
27.552489,53.878925
27.552264,53.879456
27.551563,53.879434
27.551123,53.879785
27.551303,53.880247
27.553432,53.876106
27.553962,53.876849
27.560187,53.876733
27.559693,53.875963
27.558696,53.87565
27.559001,53.87677
27.558202,53.876212
27.557492,53.877046
27.556351,53.876191
27.554896,53.878309
27.55371,53.878851
27.553315,53.878023
27.551096,53.878102
27.560133,53.874816
27.557941,53.878946
27.558938,53.878787
27.559999,53.878219
27.559612,53.880342
27.558202,53.880703
27.557106,53.883872
27.557627,53.88401
27.560798,53.883643
27.560115,53.883468
27.557932,53.883543
27.557295,53.88342
27.556333,53.883261
27.561391,53.882364
30.331765,53.879322
30.332655,53.879563
30.334087,53.880287
30.335042,53.880173
30.334431,53.881383
30.330783,53.880331
30.329731,53.880724
30.331770,53.881168
30.329667,53.879520
30.331153,53.882179
30.33617,53.879764
30.332703,53.88194
27.486382,53.847565
27.584271,53.906082
27.686508,53.943912
27.477587,53.845009
27.434802,53.910905
27.434513,53.910479
27.422907,53.915783
27.423922,53.915666
27.424434,53.916217
27.428737,53.926754
27.428063,53.925158
27.428907,53.924458
27.429015,53.914255
27.42482,53.928487
27.423356,53.926515
27.425871,53.928487
27.425503,53.92775
30.315543,53.877009
30.336898,53.866513
30.334787,53.866407
30.333471,53.867891
30.328031,53.870101
30.329082,53.870994
30.334077,53.868265
30.327941,53.869672
30.329747,53.871339
23.727794,52.11233
23.735394,52.114736
23.751681,52.115769
23.750321,52.115445
23.748626,52.116079
23.748959,52.115233
23.744072,52.114913
23.740775,52.114354
23.739059,52.11416
23.736894,52.113558
23.737119,52.114371
23.735286,52.113729
23.735754,52.113121
23.73464,52.113215
23.733589,52.113049
23.732376,52.112645
23.730094,52.112562
23.731118,52.112706
23.728962,52.112164
23.813826,53.699354
23.805193,53.709466
23.803648,53.705644
23.804277,53.705762
23.805104,53.70549
23.802121,53.703475
23.802867,53.703859
23.803612,53.704232
23.804358,53.704626
23.804376,53.703885
23.803091,53.702841
23.802921,53.708384
23.80354,53.707041
23.804169,53.707925
23.803684,53.706572
23.809802,53.699019
23.802427,53.708922
23.798151,53.70849
23.798896,53.707664
23.79913,53.707995
23.797962,53.707499
23.797028,53.707499
23.795995,53.707472
30.991674,52.442220
30.992702,52.442613
30.993711,52.442531
30.994827,52.442454
30.992380,52.446725
30.991598,52.446602
30.992681,52.446087
30.993073,52.445277
30.991509,52.444931
30.994208,52.444154
30.992261,52.444366
