longitude,latitude
27.494617,53.898967
27.493576,53.899415
27.495701,53.900389
27.495894,53.901571
27.495625,53.904554
27.497907,53.89786
27.497682,53.899567
27.497521,53.900831
27.498164,53.901982
27.497199,53.90255
27.497049,53.90415
27.496834,53.90633
27.496963,53.90803
27.496566,53.908359
27.499307,53.908056
27.498594,53.908011
27.497746,53.907809
27.500224,53.907879
27.499731,53.90688
27.498873,53.906975
27.49825,53.906697
27.503477,53.90293
27.503498,53.902108
27.50382,53.901368
27.503047,53.90121
27.502371,53.901046
27.503659,53.899782
27.502972,53.899712
27.505912,53.899131
27.504882,53.899023
27.504174,53.898992
27.503562,53.898695
27.504346,53.903429
27.506545,53.902999
27.507232,53.903164
27.507961,53.903423
27.50853,53.90365
27.506105,53.901097
27.506341,53.900648
27.5075,53.901071
27.50839,53.901141
27.509356,53.90128
27.510268,53.901508
27.483328,53.904396
27.48336,53.90365
27.48307,53.903151
27.482137,53.903119
27.482298,53.901052
27.48527,53.898113
27.486525,53.897658
27.485162,53.895964
27.482824,53.898094
27.482073,53.897462
27.482523,53.897045
27.483532,53.896545
27.483725,53.895805
27.482233,53.906273
27.485495,53.906539
27.486654,53.906059
27.597814,53.858094
27.597009,53.857632
27.595743,53.858379
27.595614,53.858859
27.59555,53.85767
27.594928,53.857221
27.594506,53.855557
27.593927,53.855981
27.593863,53.85655
27.593385,53.857012
27.593369,53.857673
27.599124,53.850843
27.600068,53.852789
27.601195,53.853631
27.599499,53.85465
27.597912,53.854257
27.596163,53.854555
27.599607,53.856763
27.599188,53.85658
27.598984,53.857352
27.610811,53.851975
27.606659,53.85094
27.605543,53.850491
27.601616,53.851971
27.602657,53.850611
27.604453,53.850162
27.603358,53.849871
27.627275,53.85698
27.427996,53.915382
27.427087,53.924135
27.428889,53.924451
27.428299,53.925089
27.42964,53.925967
27.428825,53.926801
27.436404,53.928068
27.437788,53.927809
27.436554,53.926217
27.43503,53.928264
27.434172,53.927638
27.436039,53.930115
27.434848,53.930386
27.433915,53.930778
27.432488,53.930462
27.426909,53.927575
27.434172,53.929489
27.425557,53.927784
27.425932,53.928523
27.432262,53.929388
27.430524,53.929281
27.429344,53.929344
27.429162,53.928573
27.43782,53.928567
27.491175,53.850467
27.493603,53.851164
27.493206,53.851335
27.548696,53.902849
27.547483,53.902691
27.505416,53.913559
27.72716,53.942854
27.726045,53.943189
27.526914,53.914383
27.654544,53.929079
27.652205,53.929136
27.652989,53.929597
27.651344,53.932443
27.653061,53.932961
27.574807,53.90668
27.571254,53.874928
27.499066,53.884392
27.498701,53.88235
27.588526,53.83839
27.5895,53.838422
27.521852,53.882694
27.543682,53.905649
27.453176,53.939057
27.447689,53.865221
